Major,Early Career Pay,Mid-Career Pay,Meaningfulness0,Petroleum Engineering,"$93,200","$187,300",67%
Petroleum Engineering,"$93,200","$187,300",67%
Operations Research & Industrial Engineering,"$84,800","$170,400",28%
Electrical Engineering & Computer Science (EECS),"$108,500","$159,300",46%
Interaction Design,"$68,300","$155,800",55%
Public Accounting,"$59,800","$147,700",47%
Operations Research,"$83,500","$147,400",54%
Applied Economics and Management,"$66,100","$146,400",67%
Business Computing (BC),"$73,000","$143,600",-
Actuarial Mathematics,"$64,300","$143,400",51%
Electrical Power Engineering,"$76,100","$142,600",68%
Information & Computer Science,"$58,600","$140,900",62%
Aeronautics & Astronautics,"$77,600","$139,600",56%
Systems Engineering,"$77,700","$139,200",53%
Econometrics,"$64,200","$139,000",35%
Pharmacy,"$68,600","$138,700",78%
Aerospace Studies,"$55,800","$136,600",-
Building Science,"$53,800","$135,900",53%
Chemical Engineering,"$76,900","$135,900",55%
Cognitive Science,"$68,700","$135,200",42%
Actuarial Science,"$67,700","$134,400",43%
Political Economy,"$65,100","$133,500",29%
Computer Systems Engineering,"$79,000","$133,200",51%
Electrical & Computer Engineering (ECE),"$78,100","$131,600",49%
Computer Science (CS) & Engineering,"$79,400","$131,300",44%
Marine Engineering,"$79,900","$131,300",60%
Aeronautical Engineering,"$74,700","$131,100",66%
Computer Engineering (CE),"$79,000","$131,000",46%
Naval Architecture & Marine Engineering,"$74,400","$130,700",49%
Entrepreneurship & Marketing,"$51,400","$129,800",45%
Corporate Accounting & Finance,"$65,200","$129,700",55%
Mechatronics,"$72,800","$129,600",48%
Nuclear Engineering,"$76,400","$129,400",62%
Electrical Engineering (EE),"$75,600","$127,700",54%
Foreign Affairs,"$54,800","$127,700",36%
Marine Transportation Management,"$71,100","$127,500",-
Mechanical & Aeronautical Engineering,"$70,900","$126,900",60%
Welding Engineering,"$81,000","$126,600",56%
Instrumentation & Control Engineering,"$73,100","$126,400",-
Computational & Applied Mathematics,"$75,500","$126,000",45%
Electrical & Electronics Engineering (EEE),"$74,700","$125,800",56%
Aerospace Engineering,"$74,300","$125,700",55%
Astronomy,"$66,600","$125,400",47%
Optical Science & Engineering,"$71,000","$125,400",-
Quantitative Business Analysis,"$74,000","$125,400",37%
Computer Science (CS) & Mathematics,"$70,500","$125,100",43%
Industrial & Systems Engineering,"$73,100","$124,800",48%
Economics and Mathematics,"$68,200","$124,100",35%
Biomedical Engineering (BME),"$71,300","$123,600",72%
Managerial Economics,"$65,200","$123,600",41%
Computer Science (CS),"$75,100","$123,400",42%
Physics & Astronomy,"$56,500","$123,400",36%
Petroleum Land Management,"$59,300","$123,100",-
Bioscience,"$49,200","$123,100",-
Electronics & Communications Engineering,"$67,400","$122,900",51%
Control Engineering,"$69,700","$122,800",61%
Pharmacology,"$57,700","$122,700",-
Business Analysis,"$63,200","$122,300",46%
Aeronautical Science & Engineering,"$56,000","$122,200",50%
Metallurgical Engineering,"$81,800","$122,200",61%
Engineering Science,"$67,900","$122,100",45%
Applied Mathematics,"$68,300","$122,000",40%
Chemical & Biomolecular Engineering,"$76,800","$121,900",48%
Materials Science,"$67,100","$121,800",-
Engineering,"$69,900","$121,700",59%
Ocean Engineering (OE),"$69,400","$121,400",51%
Bioengineering (BioE),"$70,900","$121,300",67%
Aeronautical/Aerospace Engineering Technology,"$76,900","$121,200",53%
Integrated Science & Technology,"$65,200","$121,100",56%
Operations Management & Information Systems,"$66,100","$120,900",38%
Software Engineering,"$75,000","$120,000",43%
Physics,"$65,900","$119,700",48%
Quantitative Economics,"$65,000","$119,600",43%
Computer & Information Science,"$63,600","$119,500",55%
Geophysics,"$58,000","$119,000",47%
Accounting & Economics,"$65,900","$118,900",44%
Physician Assistant Studies,"$95,900","$118,500",84%
Mining Engineering,"$78,800","$118,300",64%
Construction Engineering Management,"$68,800","$118,200",57%
Mechanical Engineering (ME),"$71,000","$117,600",50%
Materials Science & Engineering,"$72,700","$117,500",47%
Engineering Mechanics,"$75,500","$117,400",-
Industrial Engineering (IE),"$71,900","$117,400",44%
International Business & Finance,"$61,400","$117,400",31%
Accounting & Computer Systems,"$63,000","$117,300",37%
Business & Information Technology (IT),"$60,100","$116,900",44%
Applied Physics,"$67,300","$116,500",52%
International Economics,"$58,700","$116,300",48%
Business & Economics,"$59,600","$116,200",46%
Ceramic Engineering,"$69,200","$115,700",-
Economics,"$62,000","$115,700",41%
Pharmaceutical Sciences (PS),"$52,800","$115,700",69%
Telecommunications Engineering,"$66,400","$115,400",47%
Information & Decision Sciences,"$65,200","$115,200",33%
Materials Engineering,"$72,300","$115,200",58%
Paper Science,"$77,000","$115,200",39%
Asian Studies,"$47,700","$115,100",41%
Structural Engineering (SE),"$67,800","$115,100",66%
Industrial Distribution,"$63,600","$115,000",48%
Management Information Systems (MIS),"$65,000","$114,100",42%
Electronics Engineering,"$69,600","$113,900",66%
Finance & Economics,"$62,600","$113,900",42%
Medical Science,"$52,000","$113,800",-
Japanese Studies,"$51,500","$113,800",21%
Automotive Engineering,"$67,300","$113,800",48%
Information Management,"$64,300","$112,800",38%
Management Science,"$64,600","$112,700",43%
Mechanical,"$70,200","$112,700",54%
Construction Engineering,"$67,300","$112,500",59%
Finance & Investments,"$64,100","$112,400",44%
Mathematics & Statistics,"$63,100","$112,400",43%
Information Systems Management,"$59,200","$112,300",49%
Construction Project Management,"$61,100","$112,200",58%
Engineering Management,"$69,000","$112,200",57%
Packaging Science,"$70,000","$112,200",35%
Industrial Engineering & Management,"$68,300","$112,000",55%
Engineering Physics,"$70,500","$111,800",50%
Energy Management,"$72,300","$111,700",71%
Aeronautical Science,"$57,700","$111,600",57%
Government,"$55,100","$111,200",47%
Software Applications & Programming,"$59,300","$110,800",45%
Astrophysics,"$69,300","$110,700",64%
Bioenvironmental Science,"$47,700","$110,500",-
Japanese Language,"$53,300","$110,300",42%
Business Economics,"$58,400","$110,200",43%
Finance & Real Estate,"$63,000","$110,200",44%
Manufacturing Engineering,"$69,300","$110,000",47%
Atmospheric Science,"$48,700","$109,900",55%
Cybersecurity,"$65,600","$109,800",55%
Information Security & Assurance,"$61,400","$109,300",47%
Medicine,"$60,600","$109,200",92%
Civil Engineering (CE),"$65,000","$109,000",65%
Environmental Health & Safety Management,"$61,100","$108,800",61%
Mathematics,"$63,500","$108,700",45%
Applied Economics,"$61,400","$108,600",38%
Construction Science,"$67,400","$108,500",63%
Political Communication,"$48,800","$108,500",55%
Marketing & International Business,"$52,500","$108,400",34%
Software Development,"$65,500","$108,400",45%
Biochemistry & Molecular Biology,"$53,900","$108,100",71%
Computing,"$63,500","$108,000",53%
Construction Management,"$63,200","$108,000",58%
Accounting & Taxation,"$55,600","$107,800",41%
Building Construction (BC),"$67,200","$107,800",52%
International & Comparative Politics,"$45,700","$107,800",53%
Civil & Environmental Engineering,"$65,300","$107,500",67%
Business Information Systems,"$65,000","$107,400",43%
Financial Economics,"$63,300","$107,200",41%
Sales & Business Marketing,"$55,900","$107,200",51%
Plastics Engineering,"$68,400","$107,100",58%
Information Technology Management,"$63,400","$107,000",48%
Polymer Science & Engineering,"$74,500","$106,900",-
Informatics,"$70,300","$106,800",42%
Computer Management Information Systems (CMIS),"$55,700","$106,600",47%
Information Systems (IS),"$63,900","$106,600",44%
Agricultural Economics,"$55,600","$106,300",58%
Data Processing,"$65,600","$106,200",45%
European Studies,"$47,500","$106,100",46%
Biosystems Engineering,"$64,700","$106,000",74%
Nuclear Engineering Technology (NET),"$83,500","$106,000",62%
Economics & Political Science,"$57,100","$105,700",47%
Global & International Studies,"$50,000","$105,700",46%
Organic Chemistry,"$44,500","$105,600",-
Industrial Hygiene,"$58,600","$105,500",55%
Safety Science,"$62,400","$105,500",-
Commerce,"$66,800","$105,400",40%
Rhetoric,"$51,600","$105,400",44%
Business Computer Information Systems (BCIS),"$64,000","$105,300",40%
Finance,"$60,200","$105,200",42%
Plastics Engineering Technology,"$66,900","$105,100",28%
Molecular Biology,"$54,100","$105,000",67%
Environmental Engineering,"$62,600","$104,800",62%
International Management,"$54,100","$104,800",51%
Computer Information Systems,"$59,400","$104,700",42%
Corporate Finance,"$63,600","$104,300",43%
Genetics,"$52,200","$104,100",72%
